time_us,encoder_value
10280151, 654428
10290161, 655338
10300170, 656249
10310180, 657159
10320190, 658072
10330200, 658984
10340209, 659895
10350219, 660806
10360229, 661715
10370239, 662625
10380249, 663537
10390258, 664451
10400268, 665363
10410278, 666276
10420288, 667190
10430297, 668103
10440307, 669016
10450317, 669928
10460327, 670842
10470336, 671756
10480346, 672669
10490356, 673584
10500366, 674499
10510375, 675414
10520385, 676328
10530395, 677242
10540405, 678152
10550415, 679065
10560424, 679978
10570434, 680895
10580444, 681811
10590454, 682727
10600463, 683643
10610473, 684558
10620483, 685473
10630493, 686386
10640502, 687298
10650512, 688214
10660522, 689129
10670532, 690046
10680541, 690963
10690551, 691879
10700561, 692796
10710571, 693709
10720581, 694621
10730590, 695534
10740600, 696450
10750610, 697368
10760620, 698285
10770629, 699204
10780639, 700122
10790649, 701039
10800659, 701956
10810668, 702871
10820678, 703785
10830688, 704701
10840698, 705619
10850708, 706537
10860717, 707458
10870727, 708377
10880737, 709295
10890747, 710212
10900756, 711126
10910766, 712042
10920776, 712960
10930786, 713878
10940795, 714799
10950805, 715720
10960815, 716643
10970825, 717564
10980834, 718482
10990844, 719398
11000854, 720315
11010864, 721233
11020874, 722151
11030883, 723071
11040893, 723992
11050903, 724914
11060913, 725837
11070922, 726758
11080932, 727675
11090942, 728593
11100952, 729513
11110961, 730433
11120971, 731353
11130981, 732276
11140991, 733199
11151000, 734123
11161010, 735046
11171020, 735964
11181030, 736886
11191040, 737806
11211059, 739650
11221069, 740573
11231079, 741497
11241088, 742422
11251098, 743344
11261108, 744262
11271118, 745185
11281127, 746109
11291137, 747030
11301147, 747954
11311157, 748878
11321166, 749802
11331176, 750727
11341186, 751650
11351196, 752570
11361206, 753495
11371215, 754421
11381225, 755343
11391235, 756267
11401245, 757191
11411254, 758117
11421264, 759041
11431274, 759965
11441284, 760888
11451293, 761812
11461303, 762739
11471313, 763665
11481323, 764591
11491333, 765517
11501342, 766443
11511352, 767366
11521362, 768289
11531372, 769211
11541381, 770135
11551391, 771063
